SID;lat;lon;elev;name
4200001033;51.7772;5.1025;1;---
4200001037;51.193;-0.7555;73;---
4200001038;52.5658;-1.815;124;---
4200001039;59.4370668847667;17.1744472626757;20;---
4200001040;50.8701;4.728;60;---
4200001041;52.709;-2.5128;88;---
4200001042;52.6328;-3.2477;230;---
4200001044;39.5349;-8.3959;82;---
4200001048;51.097;-3.5066;285;---
4200001049;50.9941;-1.3871;38;---
4200001050;52.3993;5.2841;-3;---
4200001051;56.1889;-3.1534;76;---
4200001052;52.7978187099834;-1.25943511962896;48;---
4200001055;51.307062456957;-0.290208163261468;110;---
4200001056;59.0578;16.4027;46;---
4200001057;53.2625;6.3022;1;---
4200001060;50.8837;4.7051;20;---
4200001066;51.1547;3.7086;3;---
4200001067;37.7859;-3.7815;457;---
4200001068;55.9991;14.3538;6;---
4200001069;57.862;11.801;36;---
4200001072;51.543;-1.9066;110;---
4200001073;45.8638;13.9611;322;---
4200001075;52.3367;6.629;10;---
4200001076;52.4231118027968;6.816067;30;---
4200001078;50.4086;6.3305;650;---
4200001079;40.8856;-4.4732;1021;---
4200001080;54.6418;-1.3648;50;---
4200001082;51.192842;4.813395;13;---
4200001086;52.4305;-6.5057;25;---
4200001090;55.8406;12.2817;54;---
4200001091;53.5683;-1.467;77;---
4200001092;51.4104;0.0176;42;---
4200001094;52.372;-1.4925;75;---
4200001095;45.9946219085688;8.74534027790992;256;---
4200001105;51.00311;4.659717;8;---
4200001110;49.1036;6.2207;211;---
4200001111;45.4984;10.7883;142;---
4200001113;58.0657;16.5551;31;---
4200001116;51.3046139106506;-1.08720774841004;75;---
4200001120;51.6441;-0.0681;40;---
4200001123;50.9781731090008;-1.44526396560673;41;---
4200001124;52.0802;5.0994;1;---
4200001127;53.3229;-6.2409;15;---
4200001128;51.949;4.512;-5;---
4200001129;50.3313;18.8846;247;---
4200001130;51.07774;2.560609;3;---
4200001133;53.0244745418272;5.64786089154052;-1;---
4200001134;52.9823;6.6532;14;---
4200001136;59.6933;10.7459;100;---
4200001138;51.3441;0.8673;1;---
4200001139;51.2173;4.4231;3;---
4200001140;40.34;18.17;53;---
4200001141;52.2756;-0.5891;79;---
4200001142;51.1159;5.1944;42;---
4200001148;56.7156;-5.2285;49;---
4200001149;48.1785;17.3592;139;---
4200001150;51.2685;-2.1948;70;---
4200001152;52.0689907612002;0.505210576721197;72;---
4200001153;55.5425;13.1008;28;---
4200001154;68.147274;13.626631;3;---
