;rowid;Site Id;longitude;latitude;IsWithin;CountryId;geometry;elevation;UTC_TimeZone;UTC_OffsetHours;HARP_SID_int
111;161;0ab3f110-8d2b-e911-867a-0003ff597863;6.5235;52.742;True;NL;POINT (6.5235 52.742);14.0;Europe/Amsterdam;+01:00;4200000161
112;165;0adf03de-a4b2-e911-b083-0003ff598cc1;7.6259;47.047;True;CH;POINT (7.6259 47.047);554.0;Europe/Zurich;+01:00;4200000165
113;167;0ae5da9a-7eca-ea11-bf21-0003ff59b17b;-4.3099;50.5048;True;UK;POINT (-4.3099 50.5048);153.0;Europe/London;+00:00;4200000167
114;168;0b22e455-b335-e911-867d-0003ff597ce7;19.7269;63.9004;True;SE;POINT (19.7269 63.9004);102.0;Europe/Stockholm;+01:00;4200000168
115;169;0b35c987-82d8-e911-b3b9-0003ff59a783;4.997653;51.16176;True;BE;POINT (4.997653 51.16176);18.0;Europe/Brussels;+01:00;4200000169
116;170;0b42bc29-ac46-eb11-8fed-0003ff597f34;15.2475;48.2035;True;AT;POINT (15.2475 48.2035);212.0;Europe/Vienna;+01:00;4200000170
117;171;0b567bd9-1c0f-eb11-8441-0003ff597a64;10.6612;55.5142;True;DK;POINT (10.6612 55.5142);16.0;Europe/Copenhagen;+01:00;4200000171
118;173;0b774e33-c6ff-e711-90cd-0003ff5991b2;4.58186476427932;51.9489851827403;True;NL;POINT (4.58186476427932 51.9489851827403);-5.0;Europe/Amsterdam;+01:00;4200000173
119;175;0b86e4aa-7767-e911-80e7-0003ff59862c;-2.775;52.6233;True;UK;POINT (-2.775 52.6233);105.0;Europe/London;+00:00;4200000175
120;176;0b996e7b-7820-e911-9462-0003ff59610a;15.5948;58.4031;True;SE;POINT (15.5948 58.4031);77.0;Europe/Stockholm;+01:00;4200000176
121;177;0ba66052-8b0c-eb11-b5d9-0003ff599498;5.6096;51.6709;True;NL;POINT (5.6096 51.6709);18.0;Europe/Amsterdam;+01:00;4200000177
122;178;0bb1cdf5-339b-e911-80e7-0003ff59883f;4.694;50.887;True;BE;POINT (4.694 50.887);24.0;Europe/Brussels;+01:00;4200000178
123;180;0bd59f38-aabb-ea11-bf21-0003ff59a56f;-2.7971;52.4797;True;UK;POINT (-2.7971 52.4797);152.0;Europe/London;+00:00;4200000180
124;183;0bf34225-1c30-eb11-8441-0003ff597a64;-4.3921;37.1;True;ES;POINT (-4.3921 37.1);675.0;Europe/Madrid;+01:00;4200000183
125;184;0bf555d2-4248-eb11-8fed-0003ff597f34;15.1323;50.3192;True;CZ;POINT (15.1323 50.3192);222.0;Europe/Prague;+01:00;4200000184
126;185;0bfd84c0-8fb8-ea11-bf21-0003ff59a5e1;15.2455;50.7365;True;CZ;POINT (15.2455 50.7365);591.0;Europe/Prague;+01:00;4200000185
127;187;0c238181-19ec-e711-bd60-000d3ab1cef4;-13.554033;28.968073;True;ES;POINT (-13.554033 28.968073);117.0;Atlantic/Canary;+00:00;4200000187
128;188;0c245a53-329b-e811-b96f-0003ff597c74;13.3890825;53.5357339;True;DE;POINT (13.3890825 53.5357339);64.0;Europe/Berlin;+01:00;4200000188
129;189;0c2686f8-e346-eb11-8fed-0003ff5982ed;16.2651;49.5198;True;CZ;POINT (16.2651 49.5198);545.0;Europe/Prague;+01:00;4200000189
130;190;0c2b8814-1f65-e811-bd6d-0003ff59b2de;-2.162633;53.133366;True;UK;POINT (-2.162633 53.133366);163.0;Europe/London;+00:00;4200000190
131;193;0c6a82d7-abe8-ea11-bf21-0003ff595f95;6.5734;53.1343;True;NL;POINT (6.5734 53.1343);3.0;Europe/Amsterdam;+01:00;4200000193
132;195;0ce9bd20-e94b-e811-bd6d-0003ff5991d1;-9.02871253967282;54.1605178969789;True;IE;POINT (-9.02871253967282 54.1605178969789);73.0;Europe/Dublin;+00:00;4200000195
133;196;0cf46235-88a0-e811-b96f-0003ff597c74;5.59860160452308;52.2926938086908;True;NL;POINT (5.59860160452308 52.2926938086908);10.0;Europe/Amsterdam;+01:00;4200000196
134;197;0d0dd39d-80d8-e911-b3ba-0003ff59b0d7;4.357971;50.847025;True;BE;POINT (4.357971 50.847025);48.0;Europe/Brussels;+01:00;4200000197
135;199;0d4970e6-4706-eb11-b5d9-0003ff599498;-0.2954;52.0975;True;UK;POINT (-0.2954 52.0975);51.0;Europe/London;+00:00;4200000199
136;200;0d51e2ba-5041-eb11-8fed-0003ff5982ed;4.6499;50.9401;True;BE;POINT (4.6499 50.9401);15.0;Europe/Brussels;+01:00;4200000200
137;201;0d688832-8ed6-e611-9401-0003ff5987fb;6.115726;51.376371;True;NL;POINT (6.115726 51.376371);20.0;Europe/Amsterdam;+01:00;4200000201
138;203;0d834fc2-4124-eb11-8441-0003ff597a64;-2.876;51.0207;True;UK;POINT (-2.876 51.0207);28.0;Europe/London;+00:00;4200000203
139;205;0da84f60-aa7c-e911-80e7-0003ff59889d;-9.9281;52.0864;True;IE;POINT (-9.9281 52.0864);1.0;Europe/Dublin;+00:00;4200000205
140;209;0e29f584-18b9-ea11-bf21-0003ff59a5e1;12.2535;57.7678;True;SE;POINT (12.2535 57.7678);28.0;Europe/Stockholm;+01:00;4200000209
141;210;0e385e30-f155-e711-9400-0003ff596cbf;5.82294851303095;52.8722642425282;True;NL;POINT (5.82294851303095 52.8722642425282);-2.0;Europe/Amsterdam;+01:00;4200000210
